data_size, threads, time
20000, 7, 0.163853
20000, 7, 0.167154
20000, 7, 0.16628
20000, 7, 0.170537
20000, 7, 0.166551
20000, 7, 0.169269
20000, 7, 0.1738
20000, 7, 0.168049
20000, 7, 0.168108
20000, 7, 0.166539
20000, 7, 0.166611
20000, 7, 0.167524
20000, 7, 0.18779
20000, 7, 0.196987
20000, 7, 0.168674
20000, 7, 0.17277
20000, 7, 0.170471
20000, 7, 0.167944
20000, 7, 0.168326
20000, 7, 0.177203
20000, 7, 0.183974
20000, 7, 0.182776
20000, 7, 0.187888
20000, 7, 0.169799
20000, 7, 0.1696
20000, 7, 0.167312
20000, 7, 0.169206
20000, 7, 0.18612
20000, 7, 0.172264
20000, 7, 0.171561
20000, 7, 0.166367
20000, 7, 0.170802
20000, 7, 0.167563
20000, 7, 0.18216
20000, 7, 0.187293
20000, 7, 0.168197
20000, 7, 0.170555
20000, 7, 0.171589
20000, 7, 0.170026
20000, 7, 0.173439
20000, 7, 0.169667
20000, 7, 0.173764
20000, 7, 0.168363
20000, 7, 0.168037
20000, 7, 0.167063
20000, 7, 0.172322
20000, 7, 0.174636
20000, 7, 0.167563
20000, 7, 0.166206
20000, 7, 0.16674
20000, 7, 0.164546
20000, 7, 0.165601
20000, 7, 0.168032
20000, 7, 0.165135
20000, 7, 0.168757
20000, 7, 0.166599
20000, 7, 0.167607
20000, 7, 0.163912
20000, 7, 0.175689
20000, 7, 0.168459
20000, 7, 0.166222
20000, 8, 0.146833
20000, 8, 0.144125
20000, 8, 0.149556
20000, 8, 0.145791
20000, 8, 0.147987
20000, 8, 0.145013
20000, 8, 0.148539
20000, 8, 0.152746
20000, 8, 0.146333
20000, 8, 0.14755
20000, 8, 0.172266
20000, 8, 0.149982
20000, 8, 0.145485
20000, 8, 0.148717
20000, 8, 0.145362
20000, 8, 0.146463
20000, 8, 0.145626
20000, 8, 0.147383
20000, 8, 0.148064
20000, 8, 0.153408
20000, 8, 0.145184
20000, 8, 0.145591
20000, 8, 0.144197
20000, 8, 0.147657
20000, 8, 0.150784
20000, 8, 0.146146
20000, 8, 0.145568
20000, 8, 0.144828
20000, 8, 0.14597
20000, 8, 0.171738
20000, 8, 0.153676
20000, 8, 0.145507
20000, 8, 0.15734
20000, 8, 0.155195
20000, 8, 0.149991
20000, 8, 0.166477
20000, 8, 0.156183
20000, 8, 0.150125
20000, 8, 0.144619
20000, 8, 0.164715
20000, 8, 0.147435
20000, 8, 0.150249
20000, 8, 0.145017
20000, 8, 0.146736
20000, 8, 0.161528
20000, 8, 0.145155
20000, 8, 0.14511
20000, 8, 0.146491
20000, 8, 0.148694
20000, 8, 0.147357
20000, 8, 0.144553
20000, 8, 0.14669
20000, 8, 0.1504
20000, 8, 0.146008
20000, 8, 0.147145
20000, 8, 0.155134
20000, 8, 0.155478
20000, 8, 0.148563
20000, 8, 0.14579
20000, 8, 0.1516
20000, 8, 0.147621
20000, 8, 0.176529
20000, 8, 0.148632
20000, 8, 0.149071
20000, 8, 0.156949
20000, 8, 0.146588
20000, 8, 0.146874
20000, 8, 0.155546
20000, 8, 0.153822
20000, 8, 0.146265
20000, 8, 0.148248
20000, 8, 0.146308
20000, 8, 0.154352
20000, 8, 0.147214
