threads, chunks, time
4, 10, 7.99627
4, 10, 7.98148
4, 10, 7.99988
4, 10, 8.00344
4, 10, 7.99458
4, 10, 8.01516
4, 10, 7.98603
4, 10, 8.02266
4, 10, 7.9948
4, 10, 7.98903
4, 10, 8.03796
4, 50, 8.08866
4, 50, 8.09428
4, 50, 8.10416
4, 50, 8.09551
4, 50, 8.0994
4, 50, 8.10402
4, 50, 8.07633
4, 50, 8.05728
4, 50, 8.05679
4, 50, 8.06723
4, 50, 8.04434
4, 50, 8.06789
4, 50, 8.06127
4, 50, 8.06262
4, 50, 8.05407
4, 50, 8.10982
4, 50, 8.06689
4, 50, 8.04551
4, 50, 8.06236
4, 50, 8.04941
4, 50, 8.06939
4, 50, 8.09156
4, 50, 8.06309
4, 50, 8.04529
4, 50, 8.06707
4, 50, 8.05241
4, 50, 8.0839
4, 50, 8.07985
4, 50, 8.08714
4, 50, 8.07379
4, 50, 8.06595
4, 50, 8.08149
4, 50, 8.06474
4, 50, 8.11694
4, 50, 8.10519
4, 50, 8.08886
4, 50, 8.10367
4, 50, 8.10887
4, 50, 8.12792
4, 50, 8.10837
4, 50, 8.11708
4, 50, 8.10342
4, 50, 8.09682
4, 50, 8.0924
4, 50, 8.1352
4, 50, 8.09078
4, 50, 8.11227
4, 50, 8.11691
4, 50, 8.11358
4, 50, 8.09505
4, 50, 8.11148
4, 50, 8.1107
4, 50, 8.11804
4, 50, 8.11053
4, 50, 8.09324
4, 50, 8.12502
4, 50, 8.08957
4, 50, 8.09282
4, 50, 8.09441
4, 50, 8.12174
4, 50, 8.10603
4, 50, 8.10218
4, 50, 8.12606
4, 50, 8.21971
4, 50, 8.17011
4, 50, 8.25611
4, 50, 8.23142
4, 50, 8.21119
4, 50, 8.24317
4, 50, 8.21579
4, 50, 8.22309
4, 50, 8.21536
4, 50, 8.21811
4, 50, 8.22491
4, 50, 8.21162
4, 50, 8.23738
4, 50, 8.21769
4, 50, 8.22841
4, 50, 8.22452
4, 50, 8.21103
4, 50, 8.22476
4, 50, 8.21625
4, 50, 8.22602
4, 50, 8.21279
4, 50, 8.2287
4, 50, 8.21027
4, 50, 8.21125
4, 50, 8.21262
4, 50, 8.22029
4, 50, 8.21927
4, 50, 8.21599
4, 50, 8.31652
4, 50, 8.18953
4, 50, 8.27182
4, 50, 8.18161
4, 50, 8.30745
4, 50, 8.24712
4, 50, 8.23136
4, 50, 8.22718
4, 50, 8.22422
4, 100, 8.23269
4, 100, 8.22806
4, 100, 8.22116
4, 100, 8.218
4, 100, 8.22841
4, 100, 8.22993
4, 100, 8.2435
4, 100, 8.24016
4, 100, 8.22345
4, 100, 8.22328
4, 100, 8.21411
4, 100, 8.23779
4, 100, 8.22158
4, 100, 8.23373
4, 100, 8.22363
4, 100, 8.23413
4, 100, 8.22
4, 100, 8.21854
4, 100, 8.23555
4, 100, 8.21308
4, 100, 8.22676
4, 100, 8.20813
4, 100, 8.21358
4, 100, 8.10255
4, 100, 8.10203
4, 100, 8.12215
4, 100, 8.106
4, 100, 8.11272
4, 100, 8.11335
4, 100, 8.12299
4, 100, 8.12726
4, 100, 8.1002
4, 100, 8.10223
4, 100, 8.0597
4, 100, 8.07864
4, 100, 8.06128
4, 100, 8.06502
4, 100, 8.07958
4, 100, 8.0731
4, 100, 8.0696
4, 100, 8.07495
4, 100, 8.04792
4, 100, 8.09529
4, 100, 8.06454
4, 100, 8.06787
4, 100, 8.04911
4, 100, 8.06771
4, 100, 8.07671
4, 100, 8.07901
4, 100, 8.07447
4, 100, 8.06955
4, 100, 8.0709
