threads, chunks, time
4, 1, 7.85539
4, 1, 7.8718
4, 1, 7.9266
4, 1, 7.88107
4, 1, 8.02687
4, 1, 7.93017
4, 1, 7.96309
4, 1, 7.8884
4, 1, 7.92824
4, 1, 8.04395
4, 1, 7.91722
4, 1, 8.07743
4, 1, 7.91119
4, 1, 8.04681
4, 1, 8.0382
4, 1, 7.90293
4, 1, 8.0143
4, 1, 7.9067
4, 1, 7.91877
4, 1, 7.96029
4, 1, 7.91351
4, 1, 7.98164
4, 1, 7.88787
4, 1, 8.00092
4, 1, 8.00538
4, 1, 8.07339
4, 1, 7.93032
4, 1, 7.87999
4, 1, 7.8926
4, 1, 7.92334
4, 1, 7.88389
4, 1, 7.97903
4, 1, 7.9039
4, 1, 7.91268
4, 1, 7.89812
4, 1, 7.79548
4, 1, 7.82417
4, 1, 7.82226
4, 1, 7.84985
4, 1, 7.82366
4, 1, 7.8327
4, 1, 7.938
4, 1, 7.9096
4, 1, 7.91271
4, 1, 7.88468
4, 1, 7.82297
4, 1, 7.86415
4, 1, 7.81647
4, 1, 7.83489
4, 1, 7.80907
4, 1, 7.82281
4, 1, 7.8553
4, 1, 7.80341
4, 1, 7.81843
4, 1, 7.83318
4, 1, 7.80252
4, 1, 7.8724
4, 1, 7.89469
4, 1, 7.84608
4, 1, 7.80981
4, 1, 7.8687
4, 1, 7.82526
4, 1, 7.88073
4, 1, 7.83534
4, 1, 7.87616
4, 1, 7.83642
4, 1, 7.86935
4, 1, 7.95375
4, 1, 7.83995
4, 1, 7.85113
4, 1, 7.83368
4, 1, 7.91585
4, 1, 7.8616
4, 1, 7.83116
4, 1, 7.83207
4, 1, 7.82068
4, 1, 7.86179
4, 1, 7.83622
4, 1, 7.81894
4, 10, 7.79893
4, 10, 7.77591
4, 10, 7.76021
4, 10, 7.77431
4, 10, 7.76037
4, 10, 7.84013
4, 10, 7.81768
4, 10, 7.7822
4, 10, 7.77379
4, 10, 7.7704
4, 10, 7.77842
4, 10, 7.77667
4, 10, 7.80277
4, 10, 7.78104
4, 10, 7.7882
4, 10, 7.78361
4, 10, 7.77482
4, 10, 7.78191
4, 10, 7.78914
4, 10, 7.79167
4, 10, 7.80059
4, 10, 7.80663
4, 10, 7.79309
4, 10, 7.76549
4, 10, 7.75909
4, 10, 7.78425
4, 10, 7.8016
4, 10, 7.77172
4, 10, 7.77349
4, 10, 7.77533
4, 10, 7.79533
4, 10, 7.7791
4, 10, 7.78857
4, 10, 7.78677
4, 10, 7.79812
4, 10, 7.8058
4, 10, 7.78276
4, 10, 7.78439
4, 10, 7.77681
4, 10, 7.78282
4, 10, 7.79291
4, 10, 7.78891
4, 10, 7.74916
4, 10, 7.78411
4, 10, 7.77736
4, 10, 7.81346
4, 10, 7.76703
4, 10, 7.78549
4, 10, 7.79036
4, 10, 7.8152
4, 10, 7.80762
4, 10, 7.80705
4, 10, 7.78605
4, 10, 7.82507
4, 10, 7.79963
4, 10, 7.79895
4, 10, 7.85272
4, 10, 7.80055
4, 10, 7.83711
4, 10, 7.80525
4, 10, 7.82011
4, 10, 7.79233
4, 10, 7.80903
4, 10, 7.8073
4, 10, 7.81648
4, 10, 7.79924
4, 10, 7.82762
4, 10, 7.8043
4, 10, 7.81251
4, 10, 7.79153
4, 10, 7.80682
4, 10, 7.7947
4, 10, 7.8126
4, 10, 7.79118
4, 10, 7.83022
4, 10, 7.8035
4, 10, 7.80893
4, 10, 7.79367
4, 10, 7.80584
4, 10, 7.79997
4, 10, 7.8229
4, 10, 7.79618
4, 10, 7.83462
4, 10, 7.81033
4, 10, 7.82798
4, 10, 7.80256
4, 10, 7.79653
4, 10, 7.81851
4, 10, 7.79337
4, 10, 7.82251
4, 10, 7.7913
4, 10, 7.82051
4, 10, 7.79741
4, 10, 7.8047
4, 10, 7.79957
4, 10, 7.82207
4, 10, 7.79925
4, 10, 7.81868
4, 10, 7.80703
4, 10, 7.83075
4, 50, 7.80109
4, 50, 7.79473
4, 50, 7.79166
4, 50, 7.84381
4, 50, 7.91558
4, 50, 7.77732
4, 50, 7.78667
4, 50, 7.76996
4, 50, 7.77981
4, 50, 7.77038
4, 50, 7.76952
4, 50, 7.7653
4, 50, 7.7756
4, 50, 7.77275
4, 50, 7.75881
4, 50, 7.77512
4, 50, 7.75929
4, 50, 7.76009
4, 50, 7.76406
4, 50, 7.79265
4, 50, 7.77546
4, 50, 7.79213
4, 50, 7.77583
4, 50, 7.78755
4, 50, 7.77271
4, 50, 7.77794
4, 50, 7.77479
4, 50, 7.79016
4, 50, 7.77044
4, 50, 7.77413
4, 50, 7.75553
4, 50, 7.78652
4, 50, 7.75696
4, 50, 7.76539
4, 50, 7.76222
4, 50, 7.77273
4, 50, 7.78851
4, 50, 7.76705
4, 50, 7.78298
4, 50, 7.76257
4, 50, 7.76216
4, 50, 7.75407
4, 50, 7.78192
4, 50, 7.76301
4, 50, 7.77655
4, 50, 7.77013
4, 50, 7.79131
4, 50, 7.76435
4, 50, 7.77523
4, 50, 7.7807
4, 50, 7.78711
4, 50, 7.76763
4, 50, 7.78731
4, 50, 7.76185
4, 50, 7.78535
4, 50, 7.83712
4, 50, 7.81105
4, 50, 7.77706
4, 50, 7.75621
4, 50, 7.89185
4, 50, 7.75833
4, 50, 7.77649
4, 50, 7.75851
4, 50, 7.81248
4, 50, 7.83454
4, 50, 7.76164
4, 50, 7.74605
4, 50, 7.76221
4, 50, 7.74825
4, 50, 7.77326
4, 50, 7.76497
4, 50, 7.77275
4, 50, 7.77494
4, 50, 7.86841
4, 50, 7.76441
4, 50, 7.7783
4, 50, 7.75846
4, 50, 7.78163
4, 50, 7.76682
4, 50, 7.76437
4, 50, 7.77079
4, 50, 7.76243
4, 50, 7.77734
4, 50, 7.76216
4, 50, 7.7766
4, 50, 7.75776
4, 50, 7.76197
4, 50, 7.76311
4, 50, 7.77361
4, 50, 7.76031
4, 50, 7.78477
4, 50, 7.76036
4, 50, 7.78924
4, 50, 7.82489
4, 50, 7.77863
4, 50, 7.76698
4, 50, 7.77882
4, 50, 7.76482
4, 50, 7.83491
4, 50, 7.76159
4, 100, 7.77837
4, 100, 7.76085
4, 100, 7.84244
4, 100, 7.78367
4, 100, 7.76351
4, 100, 7.78127
4, 100, 7.76465
4, 100, 7.7885
4, 100, 7.77549
4, 100, 7.77836
4, 100, 7.77144
4, 100, 7.79803
4, 100, 7.77484
4, 100, 7.78919
4, 100, 7.77449
4, 100, 7.79873
4, 100, 7.78727
4, 100, 7.77678
4, 100, 7.77877
4, 100, 7.78917
